tweet_id,sentiment,content
1956967341,empty,"@tiffanylue i know  i was listenin to bad habit earlier and i started freakin at his gig"
1956967666,sadness,"Layin n bed with a headache  ughhhh...waiting for@a friend to arrive"
1956967696,sadness,"Funeral for a friend Love breaks Heart Funeral for a friend"
1956967789,enthusiasm,"wants to hang out with friends SOON!"
1956968416,neutral,"@Kwesidei not the whole crew "
1956968477,fun,"Reading www.kindle.com on my phone is fun!"
1956968487,worry,"@user haha they must be getting some flak, hopefully not too much"
1956968636,happiness,"Thanks to everyone who came to my book signing in NYC yesterday!"
1956968985,hate,"this week is not going as planned"
1956969048,boredom,"Sitting in class, doing nothing lol"
1956969352,relief,"Exam is finally over. So relieved!"
1956969622,love,"I love spending time with my family <3"
1956969852,surprise,"Just found out I got the job!! I can't believe it!"
